timestamp,facility_type,machine_id,machine_speed,shift,production_time,output_quantity,energy_consumption,energy_per_unit,ambient_temperature,humidity,defect_rate,defect_type,maintenance_needed,energy_waste_flag,anomaly_label,carbon_emission,energy_cost,production_efficiency,quality_score,predicted_energy_class,recommended_action,efficiency_score
2025-01-01 00:00:00,Finishing,M019,104.0,Night,0.0181,105.6,184.81,1.82,25.5,66.8,1.11,Float,No,1,0,86.83,1464.0,85.8,98.7,High,Check Energy Usage,83.8
2025-01-01 00:30:00,Knitting,M009,1454.0,Night,0.0152,91.0,94.96,1.02,22.0,56.5,2.38,Hole,No,0,0,34.93,738.24,46.9,89.3,Low,Continue Production,55.9
2025-01-01 01:00:00,Spinning,M003,23679.0,Night,0.0161,105.0,252.25,2.34,20.9,51.6,1.7,Broken Yarn,No,1,0,108.69,1907.56,77.3,94.5,High,Reduce Machine Speed,81.3
2025-01-01 01:30:00,Spinning,M002,17815.0,Night,0.0089,102.1,187.72,1.81,20.3,43.4,1.28,Stain,No,0,0,82.37,1403.12,83.2,99.8,High,Continue Production,90.2
2025-01-01 02:00:00,Spinning,M004,14411.0,Night,0.0234,69.5,150.95,2.16,19.8,57.5,2.72,Stain,Yes,1,1,61.4,1136.61,37.0,78.7,Medium,Schedule Maintenance,50.8
2025-01-01 02:30:00,Knitting,M012,1001.0,Night,0.0174,74.0,68.24,0.93,22.2,54.0,1.47,Broken Yarn,No,0,0,30.61,541.06,45.4,94.1,Low,Continue Production,54.7
2025-01-01 03:00:00,Knitting,M011,1131.0,Night,0.022,88.6,88.91,1.06,22.6,59.8,1.22,Hole,No,0,0,33.89,644.32,58.2,91.1,Low,Continue Production,72.7
2025-01-01 03:30:00,Spinning,M001,32641.0,Night,0.0099,105.3,238.6,2.27,21.4,66.3,2.33,Float,Yes,1,1,105.6,1846.04,68.9,85.8,High,Schedule Maintenance,73.6
2025-01-01 04:00:00,Finishing,M020,69.0,Night,0.0184,99.5,166.76,1.6,24.7,56.3,0.61,Broken Yarn,No,1,0,76.1,1354.37,70.7,98.4,Medium,Optimize Machine Load,78.3
2025-01-01 04:30:00,Weaving,M007,829.0,Night,0.0181,92.2,156.03,1.7,21.4,45.9,1.33,Broken Yarn,No,1,0,68.34,1184.91,53.3,95.2,Medium,Optimize Machine Load,58.9
2025-01-01 05:00:00,Knitting,M012,1128.0,Night,0.0103,78.9,95.65,1.28,21.6,66.1,1.84,Broken Yarn,Yes,1,0,33.81,674.12,49.4,85.1,Low,Check Energy Usage,56.5
2025-01-01 05:30:00,Spinning,M004,12670.0,Night,0.0218,70.1,137.95,2.01,19.7,51.2,1.21,Stain,No,1,0,55.59,996.01,45.8,89.2,Low,Check Energy Usage,59.8
2025-01-01 06:00:00,Knitting,M009,1167.0,Morning,0.0094,87.3,130.41,1.48,20.6,68.4,1.59,Broken Yarn,No,1,0,58.47,1023.48,55.5,90.3,Low,Check Energy Usage,64.7
2025-01-01 06:30:00,Knitting,M010,1451.0,Morning,0.0215,114.4,131.61,1.17,19.1,57.5,2.26,Float,No,0,0,56.81,999.16,79.2,89.1,Low,Continue Production,82.0
2025-01-01 07:00:00,Dyeing,M014,69.0,Morning,0.0174,122.1,198.27,1.6,27.8,74.9,1.8,Broken Yarn,No,0,0,74.68,1543.91,97.8,94.3,High,Continue Production,97.6
